id,name,link,hometown,genre,image,description,similar1,similar2,similar3,event1_venue,event1_date,event1_start,event1_end,event2_venue,event2_date,event2_start,event2_end,shawn
bd032,Condition Oakland,https://conditionoaklandpa.bandcamp.com/,"Ashland, PA",Folk,bd032.jpg,"Condition Oakland started in late 2008/ Early 2009 as the Solo project of Tyler. Since then Condition Oakland has grown in to a full band. Standing by a strong code of D.I.Y. touring and ethics. In May 2015 the band released it newest e.p. titled “Nervous Ghost” on Digital Format for “Pay What You Want” Along with a CD & 7""inch.",,,,Foufounes,5/22/2016,12:30,1:00,,,,,
bd033,Curt Murder,https://curtmurderfanclub.bandcamp.com/,"London, ON",Punk,bd033.jpg,,,,,,,,,,,,,x
bd034,Cut Up,https://www.facebook.com/cutupsf/,"San Francisco, California",Punk,bd034.jpg,,,,,Theatre Ste. Catherine,5/20/2016,20:15,20:45,,,,,
bd035,Dark Circles,https://darkcircles.bandcamp.com/,"Montréal, PQ",Hardcore,bd035.jpg,,,,,,,,,,,,,
bd036,Dead Broke,http://deadbrokeband.com/,"Oakville, ON",New Wave,bd036.jpg,,,,,,,,,,,,,
bd037,Dead to Me,https://www.facebook.com/deadtomesf,"San Francisco, California",Punk,bd037.jpg,,,,,,,,,,,,,
bd038,Dead Weights,https://deadweights.bandcamp.com/,"Ottawa, Ontario",Punk,bd038.jpg,Dead Weights started in 2010 and has played a significant amount of local shows and basements since conception. A lot of beers have been drank. A lot of strings have been broken.,,,,,,,,,,,,
bd039,Dead Words,https://deadwordstx.bandcamp.com/,"Fort Worth, Tx",Punk,bd039.jpg,,,,,,,,,,,,,
bd040,Deeper Well,https://deeperwell.bandcamp.com/,"Montréal, PQ",Hardcore,bd040.jpg,,,,,,,,,,,,,
bd041,Deja Mort,https://www.facebook.com/dejamortmusique/,"Rimouski, Québec",Hardcore,bd041.jpg,,,,,Foufones,5/20/2016,19:00,19:15,,,,,
bd042,Dig It Up,https://digitup.bandcamp.com/,"Montréal, PQ",Punk,bd042.jpg,"Since 2008, Dig It Up has been turning strangers into best friends, dead cities into great adventures and created thousands of memories (some good, some not so good) of the shit show we like to call DIG IT UP.",,,,,,,,,,,,x
bd043,Dirty Kills,https://dirtykills.bandcamp.com/,"Moncton, New Brunswick",Punk,bd043.jpg,,,,,,,,,,,,,
bd044,Dowsing,https://www.facebook.com/Dowsingband/,"Chicago, IL",Indie,bd044.jpg,,,,,,,,,,,,,
bd045,Dragged In,https://draggedin.bandcamp.com/,"Toronto, ON",,bd045.jpg,,,,,Foufones,5/20/2016,18:15,18:45,,,,,
bd046,Drug Church,https://www.facebook.com/drugchurch/,"Albany,NY",Alternative,bd046.jpg,,,,,,,,,,,,,
bd047,Due North,https://duenorth.bandcamp.com/,"Detroit, MI",Punk,bd047.jpg,"Due North is a four piece, punk influenced, rock and roll band from Southeast Michigan",,,,,,,,,,,,
bd048,Elder Abuse,https://elderabuse.bandcamp.com/,"Winnipeg, Manitoba",Punk,bd048.jpg,We've been in some bands before. Banned from Econo-Lodge world wide.,,,,Piranha Bar,5/20/2016,19:00,19:30,,,,,
bd049,Enforcers,https://www.facebook.com/EnForcersmtl/,"Montréal, PQ",Hardcore,bd049.jpg,,,,,,,,,,,,,x
bd050,Escape Uken!,https://escapeuken.bandpage.com/,"Montréal, PQ",Punk,bd050.jpg,Five long time best friends making music together by passion and for fun with a common goal of making you move your feet and bang your head.,,,,Piranha Bar,5/20/2016,20:30,21:00,,,,,
bd051,Excess,https://excessmtl.bandcamp.com/,"Montréal, PQ",Death Metal,bd051.jpg,,,,,Foufones,5/20/2016,20:30,21:00,,,,,
bd052,Five Minute Major,https://fiveminutemajor.bandcamp.com/,"Montréal, PQ",Folk,bd052.jpg,"Acoustic/folk/punk band from Montreal, formed in 2013 by longtime friends Francis Morelli & Frank J. Leonard. In May 2014, they released a debut EP entitled ""We Aren't Kids Enough"" defining their unique sound of aggressive voices & catchy sing alongs. Early 2015, they hit Emery Street Studio as a trio with the addition of Justin Judd on bass guitar, to record ""Black Sheep"".",,,,Frite Alors!,5/20/2016,23:15,23:45,,,,,
bd053,Flatfoot 56,http://www.flatfoot56.com/,"Chicago, IL",Punk,bd053.jpg,"Playing a positive-natured brand of hardcore-tinged Celtic punk, Flatfoot 56 has been unleashing itself upon America and the rest of the world for over 10 years now. Forming in 2000, the Chicago natives achieved nationwide attention with their first two label-backed records, 2006’s Knuckles Up and 2007’s Jungle of the Midwest Sea. These releases built on a heavy dose of previously established regional notoriety, helping the band gain steam early on.",,,,,,,,,,,,
bd054,Fourth Son,https://www.facebook.com/fourthsonhc,"Tampa, Florida",Hardcore,bd054.jpg,,,,,,,,,,,,,
bd055,Frank & Earnest,https://frankandearnest.bandcamp.com/,"Lansing, MI",Punk,bd055.jpg,"""None of us like playing music, we just like to hang out and drink. Well, Horky likes playing music, but that's not why he's in this band... he's just looking to get out of the house once in a while."" - Otis",,,,,,,,,,,,
bd056,Fucko,https://fucko.bandcamp.com/,"Boston, Massachusetts",Punk,bd056.jpg,two babes and a hunk,,,,,,,,,,,,
bd057,Full Of Hell,https://www.facebook.com/fullofhell/,"Ocean City, Maryland",Grindcore,bd057.jpg,Harsh grinding death from the east coast. Numb your mind.,,,,,,,,,,,,
bd058,Get Dead,https://www.facebook.com/getdeadband,"San Francisco, California",Punk,bd058.jpg,"""We were supposed to have band practice but instead we hollowed out a bunch of pineapples and put gin inside of them; it got sticky and since then we've just been Get Dead,""",,,,,,,,,,,,
bd059,Get The Shot,https://gettheshot.bandcamp.com/,Quebec City,Hardcore,bd059.jpg,,,,,Foufones,5/20/2016,22:00,22:45,,,,,
bd060,Golden Python,https://golden-python.bandcamp.com/,"Montréal, PQ",,bd060.jpg,,,,,,,,,,,,,
bd061,Green Cup,https://www.facebook.com/Green-Cup-11685472553/,"Montréal, PQ",Folk,bd061.jpg,,,,,,,,,,,,,
bd062,Half Truth,https://halftruthmtl.bandcamp.com/,"Montréal, PQ",Hardcore,bd062.jpg,"We play punk hardcore music in a ill-lit environnement. ",,,,Piranha Bar,5/20/2016,19:45,20:15,,,,,
bd063,Harriers,https://harriersmtl.bandcamp.com/,"Montréal, PQ",Hardcore,bd063.jpg,,,,,,,,,,,,,
bd064,Head Down,https://www.facebook.com/HeadDownMusic/,"Timmins, Ontario",Punk,bd064.jpg,Three piece socially charged skate / pop punk from the true north of Ontario.,,,,Piranha Bar,5/20/2016,21:15,21:45,,,,,
bd065,In The Meantime,https://www.facebook.com/inthemeantimeboston/,"Peabody, MA",Punk,bd065.jpg,"In The Meantime formed when two veteran bands from Boston's Northshore punk scene, The Munchies and Local Tough Guy, fell victim to growing up and various quarter life crises. Those who had either survived or resisted the transition to adulthood decided to start a new band that would play a brand of melodic punk rock that would reflect that transition: mature enough in lyrics and technical enough in style to support your questionable claims of adulthood, yet melodic and catchy enough to satiate your hidden Blink 182 loving inner child. ",,,,,,,,,,,,
bd066,Insubordination,https://insubordination.bandcamp.com/,"Richmond, VA",Punk,bd066.jpg,"Scott, Christian and Bryan of INSUBORDINATION bring together the punk sensibilities of NOFX, The Ramones, The Dead Milkmen, and Husker DU, mixed up with their own brand of youthful angst and wry sense of humor. Bringing back to punk what has been taken away in more recent years as punk became more mainstream. Extremely catchy riffs thought provoking lyrics added in with some anthem style gang vocals, produces a great mix of songs that are sure to become PUNK ANTHEMS!",,,,Foufones,5/20/2016,17:30,18:00,,,,,
bd067,Jabber,https://jabberpop.bandcamp.com/,San Francisco Bay Area,Pop,bd067.jpg,Melody driven pop punk from ex-members of Dead Ringer and The Pillowfights!,,,,,,,,,,,,
bd068,Jenn Fiorentino,http://jennfiorentino.com/,"Markham, Ontario",Punk,bd068.jpg,"Despite an innate love for singing and lyricism, her formative years consisted mostly of athletic pursuits, rather than artistic. Although her earliest musical tastes failed to inspire her own musical endeavors, that quickly changed when a few chance lyrics led her to the hallowed sounds of Social Distortion and Minor Threat.",,,,,,,,,,,,
bd069,Jesse Lebourdais,https://jesselebourdais.bandcamp.com/,"Horsefly, B.C.",Punk,bd069.jpg,"""Hardcore guys sing folk songs all the time, but no one belts them out like LeBourdais. No one can capture the honesty, the raw emotion quite the way he can. These aren't your average sing-along songs, but you'll find yourself singing along anyway."" — CBC Music",,,,TRH Bar,5/20/2016,18:15,18:45,,,,,
bd070,Jonathan Becker,https://jonathanbecker.bandcamp.com/,"Ottawa, ON",Folk,bd070.jpg,Scrapping and yelling. Mixing it up. Loving every minute with this damn crew.,,,,,,,,,,,,
bd071,Julius Sumner Miller,https://www.facebook.com/Julius-Sumner-Miller-257182041112969/,"Calgary, Alberta",Punk,bd071.jpg,"Because sometimes you just say fuck it. Sometimes a bunch of musicians can just hang out, drink beer and play good punk rock with their friends because it fucking rules. What comes after that is all icing on the cake. In a world bursting with whitewash garbage, gimmicks, and branding, Julius Sumner Miller delivers the straight goods. With no one to impress and nothing to apologize for this Calgary Punk Rock crew plays fast, hard and devoid of bullshit. Drawing inspiration and a name from the badass life of Julius Sumner Miller (remember the crazy professor on “The Hilarious House of Frightenstein”) JSM embodies the alternative, DIY persona. Having been recruited by friendship, and sharing a common love of fast riffs and cheap beer JSM is set to lay waste to all those who oppose the healing power of punk rock. 2014 is the year of the JSM. Steady yourself.",,,,,,,,,,,,
bd072,Junior Battles,https://www.facebook.com/juniorbattles,"Toronto, ON",Rock,bd072.jpg,"Junior Battles like the following: ‘90s CanRock, the Back to the Future trilogy, old pop-punk, The Wire, post-hardcore, and the works of Mike Judge. Rally is their second full-length and best attempt to assimilate all their interests into one listenable place.",,,,,,,,,,,,x
bd073,Katie Ellen (ex-Chumped),https://katiebandellen.bandcamp.com/,"Queens, NY",,bd073.jpg,,,,,,,,,,,,,
bd074,Kittyhawk,https://www.facebook.com/kittyhawkchicago/,"Chicago, IL",Indie,bd074.jpg,"Chicago four-piece Kittyhawk play the sort of wry, dryly sweet pop songs that call to mind early 2000s bands such as Rainer Maria and The Anniversary. Trading bass guitar for a Farfiza organ, the band is anchored by the charming vocals of singer Kate Grube, whose narrative lyrics push their songs forward, inviting listeners to lean in a little closer. After the release of several split releases and a self-titled EP, the band is ready to release their debut full-length Hello, Again on Count Your Lucky Stars Records on October 14, 2014. Pre-order is now available via the Count Your Lucky Stars online store.",,,,,,,,,,,,
bd075,La Armada,https://armadahardcore.bandcamp.com/,"Chicago, Illinois",Hardcore,bd075.jpg,"During the early and mid-2000′s La Armada established themselves as one of the most influential bands in the Hardcore/Punk scene in their native Dominican Republic where they played countless shows and notched 2 releases under their belt. In 2007, after making a tough but groundbreaking decision to leave a land where even DIY culture is a commodity and very limited platforms existed to present their music, the band decided to relocate to Chicago.",,,,,,,,,,,,
bd076,La Querelle,https://laquerelle.bandcamp.com/,"Montréal, PQ",Indie,bd076.jpg,"The band built an epic post-rock with a building, driving rhythm section. The songs are sung with the heartfelt, poignant lyricism of classic ‘90s emo bands like Elliott and Sunny Day Real Estate. With three guitarists each adding their own distinct instrumental voice to the band’s richly textured songs retain a sonic richness that isn’t studio trickery; it’s the honest, unaffected sound of a group of friends cranking up the decibels and playing as fiercely as they can.",,,,,,,,,,,,
bd077,Late Night Munchies,https://www.facebook.com/Late-Night-Munchies-210591624561/,Québec City,Ska,bd077.jpg,"Des cuivrettes qui pèttent et de la disto sale, des riffs reggae et swing, du bon vieux punk rock et du ska toutes générations confondues, en autant que ça lève!",,,,,,,,,,,,
bd078,Lemuria,http://www.lemuriapop.com/,"Buffalo, New York",Punk,bd078.jpg,,,,,Katacombes,5/21/2016,1:00,1:45,,,,,
bd079,Les Breastfeeders,http://www.lesbreastfeeders.ca/en,"Montréal, PQ",Rock,bd079.jpg,"Since 1999, Les Breastfeeders have been mostly known for their explosive performances. This Montreal-based rock monster has proved that rock’n’roll is still up and alive, charming critics and public alike with their albums Déjeuner sur l’herbe (2004), Les matins de grands soirs (2006), which was also released in France and most recently with their album Dans la gueule des jours (2011). ",,,,,,,,,,,,
bd080,Les Happycuriens,https://leshappycuriens.bandcamp.com/,"Lanaudière, PQ",Ska,bd080.jpg,"Les Happycuriens, c’est un impressionnant groupe québécois de ska 100% francophone. En effet, en jumelant des mélodies très accrocheuses à des textes autant absurdes que lucides, le groupe lanaudois propose une musique festive dégageant un rafraichissant sentiment de bonheur et de joie de vivre. Concocté à partir d’influences reggae, jazz, rock et populaire, le mélange musical peut facilement rappeler des groupes comme Les Colocs, Yelo Molo et The Planet Smashers.",,,,Le Jardin des bières,5/20/2016,18:45,19:15,,,,,
bd081,Less Than Jake,http://www.lessthanjake.com/,"Gainesville, Florida",Ska,bd081.png,"Playing music is about moments. A collection of great moments defines an amazing record. An avalanche of powerful moments tumbles into an engaging live show. The moment when band and fan become one and the same, the moment of interaction, is the type of moment that lasts forever.",,,,,,,,,,,,
bd082,Loss Aversion,https://www.facebook.com/lossaversion/,"Oshawa, Ontaio",Punk,bd082.jpg,Loss aversion refers to the tendency for people to strongly prefer avoiding losses than acquiring gains. Some studies suggest that losses are as much as twice as psychologically powerful as gains.,,,,,,,,,,,,
bd083,Lost Love,https://lostlove.bandcamp.com/,"Montréal, PQ",Punk,bd083.jpg,"Lost Love is a young melodic pop-punk four-piece from Montreal. Formed in 2013, the band has toured relentlessly through Canada and the USA. They’ve shared the stage with some seriously awesome bands like Masked Intruder, Teenage Bottlerocket, PUP, The Ataris, Jeff Rosenstock, Make Do And Mend, DeeCracks and The Queers. ",,,,Foufones,5/22/2016,13:15,13:45,,,,,
bd084,Malfunction,https://www.facebook.com/Malfunctionhc/,"Buffalo, NY",Hardcore,bd084.jpg,,,,,,,,,,,,,
bd085,Mansbridge,https://www.facebook.com/mansbridgetheband/,"Montréal, PQ",Punk,bd085.jpg,,,,,TRH Bar,5/20/2016,17:30,18:00,,,,,
bd087,Merauder,http://www.facebook.com/merauderNY,"Brooklyn, NY",Hardcore,bd087.jpg,"If the music of New York City is any indication of what’s ingrained in the hearts of its people, Brooklyn’s own MERAUDER epitomizes the underbelly of inner-city America at its grittiest and most fearless. While rebellion-hungry suburbanites and wannabe gangstas fall victim to current trends and faux tough posturing, the true warrior spirit that is MERAUDER remains the genuine article after nearly two decades.",,,,,,,,,,,,
bd088,Merci Beaute,http://liguerock.com/LR3/band/merci-beaute,,,,,,,,,,,,,,,,
bd089,Molly Drag,https://mollydrag.bandcamp.com/,Ontario,Pop,bd089.jpg,,,,,,,,,,,,,
bd090,Molly Rhythm,https://mollyrhythm.bandcamp.com/,"Philadelphia, PA",Ska,bd090.jpg,"A theatrical, eclectic, goofy, entertaining, and loud rock band fronted by two female vocalists with catchy melodies and badass riffs",,,,Piranha Bar,5/21/2016,1:00,1:30,,,,,
bd091,Morgan,https://www.facebook.com/morganband/?fref=ts,"Valleyfield, QC",Punk,bd091.jpg,"Morgan, groupe de 4 musiciens originaires de la ville de Valleyfield située dans le sud-ouest du Québec, présente un style unique de musique hybride alliant le Country et le punk, tout en flirtant avec les rythmiques Bluegrass Sud-Américaines ainsi que les ''Irish drinking songs'' traditionnelles. Pour simplifier la chose, leur style a été baptisé ''Punk Agricole'' ou ''Cow Punk''.",,,,,,,,,,,,
bd092,Mountain Man,https://www.facebook.com/mountainmanhc,"Worcester, MA",Hardcore,bd092.jpg,,,,,,,,,,,,,
bd093,Murderburgers,https://themurderburgers.bandcamp.com/,"Edinburgh/Glasgow, Scotland",Punk,bd093.jpg,Pop-punk band from Scotland. Songs about being flat broke and going mental. Most unhappy when not on tour. Most mentally unstable when on tour.,,,,,,,,,,,,
bd094,Neck,https://necktunes.bandcamp.com/,"Ottawa, ON",Punk,bd094.jpg,"NECK are a punk-pop gang currently hiding out at Cretin Manner located in Lebreton Flats, Ontario. 'Hate to Read' is a jam packed debut featuring 24 unrelenting rippers. Less books ... More hooks! Gertrude Riddlesforth from The Nationally Educated Critics of Kanata describes the effort as 'the best book you'll never have to read' ",,,,,,,,,,,,
bd095,Night Birds,https://www.facebook.com/NGHTBRDS/,New Jersey,,bd095.jpg,"Nights Birds is comprised of four thoroughly modern morons from the NJ shore and Brooklyn, NY. When not creating the surfy, punk rock din they're oh so infamous for, they enjoy watching shitty movies, discussing where to get the best pizza, eating pizza, and laughing at the misfortunes of others.",,,,,,,,,,,,
bd096,Nightmares For A Week,https://nightmaresforaweek.bandcamp.com/,"Kingston, NY",,bd096.jpg,,,,,Katacombes,5/20/2016,20:45,21:15,,,,,
bd097,Ninjas N Aliens,https://ninjasnaliens.bandcamp.com/album/ninjasnaliens-full-album,"Montréal, PQ",Punk,bd097.jpg,We're armed and ready. We're Ninja family. We fight the Aliens within the confines of this very planet.,,,,,,,,,,,,x
bd098,Nuke,https://www.facebook.com/NUKEMTL,"Montréal, PQ",Hardcore,bd098.jpg,,,,,,,,,,,,,
bd099,OC-45,https://oc45.bandcamp.com/,"Boston, Massachusetts",Punk,bd099.jpg,"Since it's inception in the summer of 2011, OC45 has played over 350 shows and spent approximately 43 weeks on the road, spanning six different DIY tours throughout North America. In Septmeber 2013, the band released it's debut EP, ""When It Hits"", on it's own label, BirdsEye Records. March 2015's follow-up release, ""Burn It"", was also released on BirdsEye, this time with the help of Boise's 1332 Records. With sights set on Europe in 2016 and a full-length in 2017, OC45 is showing absolutely no signs of slowing down.",,,,Piranha Bar,5/21/2016,2:30,3:00,,,,,
bd101,Oh My Snare!,https://ohmysnare.bandcamp.com/,"Montréal, PQ",Punk,bd101.jpg,,,,,Piranha Bar,5/21/2016,1:45,2:15,,,,,
bd102,Old Towns,oldtowns.bandcamp.com,"Edmonton, AB",Folk,bd102.jpg,,,,,Frite Alors!,5/20/2016,22:30,23:00,,,,,
bd103,On The Cinder,https://onthecinder.bandcamp.com/,"Buffalo, NY",Punk,bd103.jpg,"On The Cinder is a 3-piece punk rock band based out of Buffalo, NY. With everything from melodic harmonies, to ripping guitar and bass leads, to guttural screams, and a collection of influences that range from the Descendents to A Wilhelm Scream, they tread the line between punk rock and melodic hardcore. Their first full-length album, “The Fight Against Ourselves” will be released in April of 2016 on Between the Days Records, with a 2-month tour to follow. The tour includes dates date across the eastern half of the US, and a handful of Canadian dates including Pouzza Fest in Montreal.",,,,Piranha Bar,5/20/2016,22:00,22:30,,,,,
bd104,One Flight Down,https://oneflightdown.bandcamp.com/releases,"Québec, QC",Emo,bd104.jpg,Songs about ex-girlfriends with guitars and some other stuff.,,,,Katacombes,5/20/2016,21:30,22:00,,,,,
bd105,Pale Lips,https://palelips.bandcamp.com/,"Montréal, PQ",Punk,bd105.jpg,Drippy mascara slopped rock n roll with sprinkles!,,,,Theatre Ste. Catherine,5/20/2016,22:30,23:00,,,,,
bd106,Peace Be Still,https://peacebestill.bandcamp.com/,"Mississauga, ON",Emo,bd106.jpg,"Nice and interesting, and all the other things girls say about guys they don't really like.",,,,,,,,,,,,
bd107,Pistols At Dawn,http://www.pistolsatdawnpunk.bandcamp.com/,"Ottawa, Ontario",Punk,bd107.jpg,,,,,Theatre Ste. Catherine,5/20/2016,18:45,19:15,,,,,
bd108,Pkew Pkew Pkew,https://pkewx3.bandcamp.com/,"Toronto, ON",Punk,bd108.jpg,"And to think it all started with a Craigslist ad. Mike Warne (vocals, guitar) posted a call for band auditions, and only one person responded; a lone musician performing in a TV theme song cover band who played a mean version of the Pokemon intro. Naturally, Mike had to have him over to audition. His first meeting with Ryan McKinley (guitar, vocals) turned into a night of drinking cheap bottles of wine on Mike’s roof, and not playing any music. As the newfound friendship blossomed over a love of drinking and anime, the band began to take shape. Soon after came Emmett O'Reilly (bass and vocals) and Dave Laino (drums and vocals) who also fit the bill.",,,,,,,,,,,,
